Reaction,Flux
ADPtn,0.0
ATPtn,0.0
FACOAE140,0.0
FACOAL260,0.0
GLCter,0.0
DAGL_PP,0.0
M4MPDOLter,0.0
M7MASNBterg,0.0
MANter,0.0
MIPCS124_SC,0.0
MIPCS126_SC,0.0
MIPCS224_SC,0.0
MIPCS226_SC,0.0
MIPCS324_SC,8.173295141473227e-06
MIPCS326_SC,5.3389903788251775e-06
NADH2_u6mh,3.2353826833652093
NDPK10,0.0
NTP10,0.0
NTP5,0.0
NTP7,0.0
NTP9,0.0
SPHK21c,0.0
POLYPPE,0.0
NDP11,0.0
PHEPYRAT,0.0
NDP10,0.0
MAGL_PP,0.0
CERASE116,0.0
CERASE118,0.0
CERASE16d4,0.0
CERASE18d4,0.0
CERASE124,0.0
CERASE126,0.0
PYDXNDH,0.0
NDP12,0.0
LSERDHr2,0.0
GLCCERS16d4,0.0
GLCCERS16d8,3.761674362835122e-07
GLCCERS16m9,3.6531828269867815e-07
GLCCERS18,1.4015076180642238e-07
GLCCERS18d4,2.1710996238188204e-07
GLCCERS18d8,1.430121467577441e-06
GLCCERS18m9,3.815666349388886e-06
CERS116,8.479054749594191e-07
CERS118,6.929747274805597e-06
CER4DS16,8.979989856863214e-08
CER4DS18,3.099691187640289e-07
CER4DS2d16,7.581055763907869e-07
CER4DS2d18,5.695824495723443e-06
PYDXS,0.0
TYRPYRAT,0.0
OPMT1,0.0
OPMT2,0.0
HCO3DH,0.0
FAcoaRavge,0.0077956051653955746
FARavge,0.0
STERYLEST,0.0003693301083726821
Nglycmann,0.0
Oglycmann,0.0
FACOAL180p,0.0
FACOAL181p,0.0
FACOAL182p,0.0
FACOAL183p,0.0
FACOAL240,0.0
PTE141x,0.0
PTE161x,0.0
PTE181x,0.0
PTE182x,0.0
PTE183x,0.0
PTE260x,0.0
DESAT182,0.0016682595053946528
POLYPPX,0.0
CER8DS16,3.240579591552952e-08
CER8DS18,8.800038935977882e-08
CER8DS2d16,7.414857189821903e-07
CER8DS2d18,5.303035618057734e-06
CER9MET16,3.6531828269867815e-07
CER9MET18,3.815666349388886e-06
SBPP3er,0.0
SGPL12,0.0
HXDCEALR,0.0
CERavg,1.4630156169539288e-06
CERS2d16,7.581055763907869e-07
CERS2d18,5.835975257529866e-06
CERS424,5.773583775764545e-07
CERS426,4.045007784717463e-07
GLCCERavg,6.344534260136821e-06
IPC116PLC_PP,0.0
IPC118PLC_PP,0.0
IPC424PLC_PP,0.0
IPC426PLC_PP,0.0
IPCavg,6.998283364563084e-06
IPCS116_PP,0.0
IPCS118_PP,6.963291947740269e-07
IPCS424_PP,5.773583775764545e-07
IPCS426_PP,4.045007784717463e-07
mip2c424plc_pp,0.0
mip2c426plc_pp,0.0
MIP2Cavg,6.998283364563084e-06
mip2cs424_pp,7.4881632000825e-08
mip2cs426_pp,0.0
mipc424plc_pp,0.0
mipc426plc_pp,0.0
MIPCavg,6.998283364563084e-06
MIPCS424_SC,3.226208631063582e-07
MIPCS426_SC,1.6166034572140725e-07
SPHLIPIDS,2.8799520018778127e-05
SPHS1Pter,0.0
OGLYCOStg,0.0
CHITINtg,0.0
MANNANtg,0.0
FARCOAtm,0.0
FACOAtm,0.0
CLPNtm,8.957536864917498e-06
DEDOLPP,0.0
DEDOLS,0.0
NADHter,0.0018776654095759412
NADter,-0.0018776654095759412
NADPHter,0.0017389059358082792
NADPter,-0.0017389059358082792
GPAILter,0.0
PI34BP4P_PP,0.0
12DGRter,0.0
PEter,0.0
PAter,0.0
DUDPtn,0.0
MI13456Ptn,0.0
PMI23456PH,0.0
PMI23456PS,0.0
PMI12456PH,0.0
PMI12456PS,0.0
DPMI2346PH1,0.0
DPMI2346PS1,0.0
DPMI2346PH5,0.0
DPMI2346PS5,0.0
DPMI1246PH3,0.0
DPMI1246PS3,0.0
DPMI1246PH5,0.0
DPMI1246PS5,0.0
DNADtn,0.0
DOLter,0.0
2HBO,0.0
2HBt2,0.0
34HPPt2p,0.0
3C4MOPtm,0.03442189368523783
4ABUTNtm,0.0
4ABUTtm,0.0
4H2OGLTtm,0.0
4H2OGLTtp,0.0
4HPRO_LTtm,0.0
8AONNt2,0.0
AABTN,0.0
AACTOOR,0.0
AASAD2,0.0310863908948806
ACCOAtn,0.0
ACRNtp,0.0
ACtp,0.0
ADEtm,0.0
AHMMPS,7.535196237112851e-08
AKGt2n,0.0
AKGtp,0.0
AOBUTDs,0.0
