Reaction,Flux
MIPCS324_SC,9.081439046081361e-06
MIPCS326_SC,5.932211532027975e-06
NADH2_u6mh,1.1705696614431984
GLCCERS16d8,4.179638180927913e-07
GLCCERS16m9,4.059092029985313e-07
GLCCERS18,1.5572306867380265e-07
GLCCERS18d4,2.412332915354245e-07
GLCCERS18d8,1.5890238528638231e-06
GLCCERS18m9,4.239629277098762e-06
CERS116,9.421171943993546e-07
CERS118,7.69971919422844e-06
CER4DS16,9.977766507625796e-08
CER4DS18,3.4441013196003206e-07
CER4DS2d16,8.423395293230966e-07
CER4DS2d18,6.328693884137159e-06
FAcoaRavge,0.008661783517106196
STERYLEST,0.0004103667870807579
DESAT182,0.001853621672660726
CER8DS16,3.600643990614392e-08
CER8DS18,9.777821039975425e-08
CER8DS2d16,8.238730210913226e-07
CER8DS2d18,5.892261797841926e-06
CER9MET16,4.059092029985313e-07
CER9MET18,4.239629277098762e-06
CERavg,1.6255729077265876e-06
CERS2d16,8.423395293230966e-07
CERS2d18,6.484416952810961e-06
CERS424,6.415093084182828e-07
CERS426,4.494453094130514e-07
GLCCERavg,7.049482511263135e-06
IPCavg,7.775870405070094e-06
IPCS118_PP,7.736991053044744e-07
IPCS424_PP,6.415093084182828e-07
IPCS426_PP,4.494453094130514e-07
MIP2Cavg,7.775870405070094e-06
mip2cs424_pp,8.320181333425e-08
MIPCavg,7.775870405070094e-06
MIPCS424_SC,3.5846762567373135e-07
MIPCS426_SC,1.7962260635711917e-07
SPHLIPIDS,3.1999466687531254e-05
CLPNtm,9.95281873879722e-06
NADHter,0.002086294899528823
NADter,-0.002086294899528823
NADPHter,0.001932117706453643
NADPter,-0.001932117706453643
3C4MOPtm,0.02527137369169134
AASAD2,0.02309705095523088
ACtp,0.08741281833285862
AHMMPS,8.37244026365147e-08
CITtap,0.08741281833285862
DDPAm,0.024122842336328824
DESAT18_2,0.004200965005796505
DOLPt2er,-0.028457924456022687
E4Ptm,0.024122842336328824
HYPOE,5.5816268292504155e-08
MALOAAtp,0.08741281833285862
MANNANter,-0.028457924456022687
MGSA,0.008130045231955485
CERH124,1.3726044005736979e-05
CERH126,9.634786239835227e-06
CERS324,1.3506690989538489e-05
CERS326,9.49756599878789e-06
CYOR_u6m,4.49410196772295
PDXPHT,-5.5816268292504155e-08
IPCS224_PP,1.3218979688619162e-07
IPCS226_PP,1.065294245494603e-07
IPCS324_PP,1.2421952972099474e-05
IPCS326_PP,8.802285298539347e-06
MIP2CS324_PP,4.572989385221722e-06
MIP2CS326_PP,3.1196792065141216e-06
2DDA7Ptm,-0.024122842336328824
2OXOADPtim,0.02309705095523088
4ABZtm,8.372440263304526e-08
ACACT1m,0.012518271743588752
ACSm,0.0438883145465212
ACSp,0.08741281833285862
ADK1,0.2940872593922253
AKGDam,0.2243248419665037
ALDD2y,0.22731424742122325
ASPt2m,0.0336450645274774
ATPtm_H,8.022674134599939
BTNt2i,8.372440263613617e-08
CITtbm,-0.024122842336328824
DESAT16,0.00028583885606450445
DHPSm,8.372440263304526e-08
DHPTtm,-8.372440263304526e-08
D_LACtm,0.010561714148663581
dolpmmer,0.028457924456022687
DROPPRy,1.6744880527227235e-07
DRTPPD,1.6744880527227235e-07
ERGSTter,0.001932117706453643
ERGTETROLter,0.001932117706453643
FBA3,0.005118593942771386
GCALDtm,-8.372440263304526e-08
GLCt1,0.72
GLUK,0.2971428279395497
H2Oter,-0.002086294899528823
HCO3E,0.34504654628456755
HICITDm,0.02309705095523088
HMGCOASm,-0.012518271743588752
HMPK1,8.37244026365147e-08
ICDHxm,0.2798856348249994
ICDHym,0.0766628119414805
IPPSm,0.02527137369169134
MEVK2,0.003021859880979201
MTHFC,-0.05021583420272451
MTHFCm,0.014954830647625613
NADH2_u6cm,3.029122620254183
O2ter,0.002086294899528823
OMCDCm,0.02527137369169134
OXAGm,0.02309705095523088
PAtm_PP,1.990563747759444e-05
PFK_3,0.005118593942771386
PIt2m,7.998501193272304
PPNCL2,8.745507919738493e-06
PYAM5PO,-5.5816268292504155e-08
PYDXO,-5.5816268292504155e-08
PYRt2m,0.4739098315181293
SLFAT,0.0033319344973533685
SQ23EPXter,0.002086294899528823
SQLter,0.002086294899528823
SUCD2_u6m,0.2867992634125479
DASYNm_PP,1.990563747759444e-05
G6PI3,0.2971428279395497
PPTTm,8.372440263564734e-08
